AppID,AppType,Followers,Positive_rev,Negative_rev,Positive_rev_per,Steam reviews,PlayTracker,VG Insights,SteamSpy
962950,Game,80,13,2,86.67%,375,,565,3.0 k
778120,Game,109,4,3,57.14%,175,23.4 k,275,2.0 k
1187910,Game,16,2,1,66.67%,75,,90,4.0 k
763350,Game,26,8,2,80.00%,250,15.4 k,430,2.0 k
1537410,Game,23,5,0,100.00%,100,,150,9.0 k
761910,Game,"3,609",355,34,91.26%,9.7 k,51.4 k,14.3 k,8.0 k
975470,Game,"4,788",544,204,72.73%,18.7 k,422.1 k,27.5 k,48.0 k
990900,Game,"1,697",34,2,94.44%,900,13.2 k,1.1 k,4.0 k
372770,Game,79,5,2,71.43%,245,160.5 k,393,6.0 k
462580,Game,72,16,5,76.19%,735,128.6 k,942,15.0 k
926870,Game,34,1,0,100.00%,25,,,3.0 k
1966960,Beta,1,,,,,,,
848720,Game,18,3,1,75.00%,100,23.3 k,180,3.0 k
1343040,Game,94,63,13,82.89%,1.5 k,,2.3 k,25.0 k
519140,Game,"3,552","1,139",462,71.14%,56.0 k,527.3 k,92.3 k,273.0 k
1987030,Game,70,12,3,80.00%,300,,450,93.0 k
821260,Game,34,5,4,55.56%,225,150.5 k,430,3.0 k
1565720,Game,27,5,0,100.00%,100,,150,2.0 k
748490,Game,"20,453","2,272",139,94.23%,60.3 k,234.2 k,68.7 k,85.0 k
545000,Game,205,2,1,66.67%,105,16.0 k,126,20.0 k
1623720,Game,22,2,2,50.00%,80,,120,4.0 k
544220,Game,228,5,14,26.32%,665,89.4 k,1.0 k,3.0 k
338190,Game,"2,583",186,28,86.92%,7.5 k,453.5 k,18.7 k,27.0 k
1375270,Game,48,10,0,100.00%,200,,300,11.0 k
551680,Game,156,15,17,46.88%,1.1 k,288.4 k,1.9 k,10.0 k
1874510,Game,95,0,1,0.00%,20,,30,3.0 k
1693780,Game,266,8,10,44.44%,360,,540,2.0 k
1466930,Game,"1,496",123,82,60.00%,4.1 k,30.1 k,6.2 k,28.0 k
1748070,Game,8,,,,,,,
1755120,Game,"1,182",253,207,55.00%,9.2 k,104.8 k,13.9 k,
964920,Game,294,7,8,46.67%,375,,600,1.0 k
1085570,Game,82,8,0,100.00%,200,,212,4.0 k
1528020,Game,"2,151",106,27,79.70%,2.7 k,10.3 k,4.0 k,12.0 k
1796350,Game,33,0,1,0.00%,20,,30,11.0 k
1444320,Game,344,32,2,94.12%,680,,1.0 k,3.0 k
906050,Game,842,194,77,71.59%,6.8 k,,8.7 k,5.0 k
351910,Game,"15,552",674,555,54.84%,43.0 k,1.65 M,144.8 k,221.0 k
513480,Game,400,140,22,86.42%,4.9 k,360.0 k,5.9 k,25.0 k
2010700,Game,195,27,18,60.00%,900,,1.4 k,13.0 k
1089830,Game,"2,052",985,133,88.10%,22.4 k,81.0 k,33.5 k,49.0 k
403070,Game,543,41,8,83.67%,1.7 k,29.6 k,1.9 k,11.0 k
811440,Game,19,2,1,66.67%,75,10.7 k,95,1.0 k
491010,Game,233,67,16,80.72%,2.1 k,352.3 k,77.8 k,38.0 k
681290,Game,58,27,13,67.50%,1.2 k,163.4 k,1.4 k,12.0 k
1233460,Game,23,1,1,50.00%,40,,60,61.0 k
1688630,Beta,1,,,,,,,
350530,Game,636,102,112,47.66%,7.5 k,189.9 k,24.1 k,49.0 k
2026860,Application,27,6,0,100.00%,120,,,
1481840,Game,48,9,1,90.00%,200,,300,2.0 k
1444890,Game,72,13,2,86.67%,300,,450,17.0 k
1217340,Game,351,20,15,57.14%,700,,1.1 k,1.0 k
1478660,Beta,,,,,,,,
872340,Game,51,5,2,71.43%,175,,262,1.0 k
523680,Game,414,33,10,76.74%,1.5 k,305.8 k,4.7 k,22.0 k
439460,Game,"1,338",64,115,35.75%,6.3 k,91.5 k,9.7 k,32.0 k
1308880,Game,"1,349",54,32,62.79%,1.7 k,21.5 k,2.6 k,20.0 k
296650,Game,132,47,25,65.28%,2.5 k,611.0 k,4.2 k,30.0 k
1549420,Game,604,26,1,96.30%,540,,810,2.0 k
418270,Game,950,426,410,50.96%,29.3 k,3.20 M,48.2 k,121.0 k
390220,Game,405,117,49,70.48%,5.8 k,226.3 k,7.3 k,16.0 k
549860,Game,"2,718",566,68,89.27%,22.2 k,496.9 k,33.5 k,61.0 k
612380,Game,117,5,3,62.50%,240,10.6 k,400,3.0 k
1559340,Game,11,,,,,,,
1632640,Game,36,9,5,64.29%,280,,420,1.0 k
350480,Game,"2,637",44,9,83.02%,1.9 k,283.2 k,1.5 k,5.0 k
