AppID,primary genre
668290,Strategy 
646100,Action 
1382310,Indie 
1944970,Indie 
1534240,Casual 
1339310,Casual 
575800,Casual 
634120,Adventure 
1843230,Strategy 
1434550,Indie 
316260,Action 
604040,Indie 
1050170,Indie 
1546120,Indie 
762850,Casual 
1221560,Free to Play 
1939600,Indie 
1652800,Indie 
437530,Adventure 
1583650,Casual 
526130,Action 
1651880,Indie 
311120,Action 
410670,RPG 
1131410,Indie 
1417890,Adventure 
2006770,Indie 
1583840,RPG 
516940,Simulation 
1304320,RPG 
1471960,Indie 
1350540,Action 
1512910,Casual 
511110,Action 
1578750,Action 
1674300,Casual 
465750,Strategy 
1053660,Indie 
605490,Action 
1253320,Action 
448960,Indie 
1457150,RPG 
1129660,Casual 
1550750,Indie 
1787520,Indie 
292180,Simulation 
1095140,Early Access 
973410,Indie 
1564660,Strategy 
1563100,Action 
1853200,Indie 
1953220,Indie 
1094250,Strategy 
536660,Early Access 
362920,Adventure 
1113940,Indie 
915760,Action 
1682030,Action 
416840,Indie 
529130,RPG 
1730670,Indie 
1535270,Casual 
1836310,Adventure 
1945980,Adventure 
836440,Sexual Content 
796580,Casual 
1830050,Indie 
691680,Indie 
1798310,Indie 
2058120,Casual 
399670,Simulation 
1410110,Action 
1841060,Adventure 
584170,Indie 
559210,Unknown Genre 
227160,Action 
1331390,Casual 
816490,Casual 
1576880,Free to Play 
1527910,Action 
1876060,Indie 
336230,Indie 
1029160,Strategy 
1315070,Action 
1353870,Indie 
975710,Indie 
980940,Casual 
800510,Action 
1094010,Action 
1692900,Casual 
1730160,Indie 
714820,Indie 
1794300,Action 
1297010,Adventure 
40800,Indie 
371450,Casual 
2023330,Action 
1870170,Action 
627690,Action 
1348390,Simulation 
1436280,Action 
1312000,Casual 
1815550,Indie 
42920,Strategy 
959540,Indie 
1167650,Indie 
939250,Indie 
1600180,Casual 
1941400,Action 
305490,Simulation 
488360,Simulation 
682280,Casual 
648070,Adventure 
1875470,Action 
810590,Indie 
791320,Adventure 
1598810,Indie 
1012390,Casual 
1029650,Adventure 
738030,Indie 
764630,Action 
992990,Action 
962070,Casual 
1365620,Indie 
690610,Free to Play 
905510,Indie 
1710810,Action 
1386980,Action 
539750,Indie 
1601680,Simulation 
1753690,RPG 
863230,Action 
1059370,Action 
1615560,Indie 
661700,Free to Play 
486940,Sports 
778860,Casual 
876850,Indie 
482390,Casual 
676320,Casual 
1684220,Action 
946360,Indie 
513330,Indie 
1179010,Action 
1367380,RPG 
1034120,Strategy 
1713530,Strategy 
736430,Action 
699510,Casual 
1100180,Indie 
959000,Indie 
731180,Free to Play 
1481960,Adventure 
376410,Strategy 
723110,Indie 
226620,RPG 
1108750,Action 
788040,Indie 
1768790,Action 
1471220,Action 
699080,Indie 
1068120,Indie 
1153040,Adventure 
1658770,Strategy 
1061420,RPG 
363180,Strategy 
843620,Casual 
1384350,Casual 
618570,Indie 
110600,Indie 
1172470,Action 
1471460,Indie 
1284700,Indie 
841600,Action 
1671180,Action 
2061060,Action 
1299120,RPG 
1303170,Simulation 
773530,Indie 
1430100,Indie 
1514160,Indie 
404730,Unknown Genre 
945490,Strategy 
301260,Simulation 
1866870,Casual 
510710,Strategy 
924310,Action 
1273430,Indie 
556680,Action 
910850,Simulation 
1343450,Casual 
1271620,Action 
1492290,Casual 
1433770,Casual 
1804390,Adventure 
1091350,Racing 
1836500,Casual 
813360,Adventure 
846220,Adventure 
223750,Simulation 
1845880,Indie 
291170,Strategy 
1162730,Indie 
236490,Indie 
1418650,Action 
1011320,Indie 
1895130,Massively Multiplayer 
1002510,Indie 
346940,RPG 
40420,Casual 
1526480,Casual 
1914950,Free to Play 
288790,Adventure 
434970,Indie 
1073890,Action 
1811750,Indie 
283620,Simulation 
1152410,Indie 
350970,Adventure 
1582850,Free to Play 
308560,Adventure 
1807610,Strategy 
1504570,Indie 
418650,Action 
1064920,Casual 
1088040,Sports 
1418160,Indie 
1128420,Casual 
313740,Indie 
960820,Casual 
1515820,RPG 
237760,Action 
1022480,Action 
532080,Action 
415780,Action 
1166990,Indie 
407420,Simulation 
391280,Strategy 
1371730,Adventure 
471770,Action 
461830,Indie 
1376590,Casual 
990840,Indie 
1788730,Strategy 
1412580,Indie 
889280,Indie 
1277310,Free to Play 
1600600,Indie 
1302460,Action 
869840,Indie 
438490,RPG 
1187250,Strategy 
1541450,Indie 
656070,Action 
1495080,Casual 
406930,Action 
855010,Strategy 
312540,RPG 
1028340,Sports 
368570,Indie 
270880,Simulation 
1671200,Action 
959410,Adventure 
1273250,Action 
913440,Casual 
959050,Action 
991230,Racing 
1580640,Adventure 
1808860,Indie 
1338130,Indie 
589220,Adventure 
993750,Indie 
903790,Strategy 
1508980,Simulation 
1208040,Casual 
408920,RPG 
1217510,Strategy 
1417190,Indie 
1386330,Casual 
1776860,Casual 
1227000,Indie 
1285820,Indie 
394960,Adventure 
747110,Indie 
733990,Simulation 
1998840,Action 
704760,Action 
528460,Massively Multiplayer 
1457490,Free to Play 
12670,Simulation 
765860,Adventure 
1514580,Action 
1431040,Sports 
1579590,Indie 
1553850,Action 
1875560,Adventure 
1143810,Adventure 
1321220,Simulation 
1500750,Indie 
1819900,Action 
1433070,Indie 
45750,Action 
850710,Casual 
821860,Action 
1836970,RPG 
577850,Simulation 
1715970,Action 
1008000,Massively Multiplayer 
1006920,Indie 
1011310,Action 
536950,Free to Play 
1669350,Action 
1436810,Indie 
2050890,Action 
1280780,Simulation 
994200,Massively Multiplayer 
1148680,Strategy 
1347390,Indie 
460630,Action 
562050,Casual 
613880,Simulation 
371710,Strategy 
1959400,Action 
1420080,Action 
38160,Unknown Genre 
1283430,Action 
703000,RPG 
1071220,RPG 
536430,Adventure 
742990,Strategy 
1000040,Action 
380990,Action 
565080,Indie 
1630760,Casual 
612440,Casual 
327980,RPG 
266330,Indie 
1436990,RPG 
654710,Indie 
873250,RPG 
868570,Indie 
1571600,Adventure 
1605190,Casual 
635900,Indie 
1789660,Action 
1236700,Indie 
590600,Early Access 
870010,Indie 
1192610,Action 
457690,Simulation 
371120,Indie 
1018950,Action 
1786280,Indie 
910460,Adventure 
1251270,Strategy 
226780,Racing 
251990,Indie 
543240,Adventure 
1822490,Casual 
764180,RPG 
1534520,Indie 
854190,Action 
1375850,Casual 
984610,Simulation 
1342790,Action 
1285940,Indie 
1732210,Adventure 
1778110,Indie 
1123730,RPG 
837780,Simulation 
11370,Adventure 
1524690,Strategy 
1271280,RPG 
898260,Casual 
426930,Action 
499540,Indie 
598620,Casual 
1102140,Casual 
1143900,Action 
606230,Strategy 
1601260,Early Access 
894090,Casual 
1207390,Action 
1797590,Indie 
508790,Indie 
1084920,Adventure 
1146350,Action 
654260,Casual 
828740,Adventure 
454680,Indie 
449040,RPG 
219830,Free to Play 
1913550,Action 
1192500,Casual 
1554600,Adventure 
720030,Indie 
1086140,Casual 
1535420,Casual 
415920,RPG 
1507600,Action 
240340,Casual 
1544810,Simulation 
793030,Action 
1514730,RPG 
1487100,Indie 
726000,Strategy 
2010540,Indie 
651670,RPG 
987710,Casual 
951050,Adventure 
1550630,Action 
1711530,RPG 
1011420,Simulation 
